id,genre,track_name,artist_name,valence,energy
3ohNs5SYgwCjnxl8QSjqvR,acoustic,Only Girl (In The World) (feat. Alex Goot),Boyce Avenue,0.467,0.56
2Gb3up6s243JSVuRRjwQoF,acoustic,Nothing On You / Hey Soul Sister feat. Sam Tsui,Ahmir,0.369,0.698
5Ukzlujip1Slqka5OY82YS,acoustic,U.N.I.,Ed Sheeran,0.578,0.405
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
12jjuxN1gxlm29cqL5M6MW,acoustic,I Got You,Jack Johnson,0.544,0.399
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542
6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659
7JIuqL4ZqkpfGKQhYlrirs,acoustic,The Only Exception,Paramore,0.209,0.563
3XsQljVSwXVrBl2yUmftAc,acoustic,Blue Moon - Live From KCRW / 2014,Beck,0.473,0.828
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238
2oW5yMYx6yiuW6uZx7ZJdO,afrobeat,Amidinin,Tinariwen,0.919,0.684
27i5E9ok44Ymh7jtmN0OAy,afrobeat,Sabu Yerkoy,Ali Farka Touré,0.697,0.364
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
7MJGB3W6xlzhuYLHcazBmy,afrobeat,Yori Yori,Various Artists,0.901,0.842
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
5dQ0kTDZeO4BVWLNytsKuv,afrobeat,Jiin Ma Jiin Ma,Orchestra Baobab,0.714,0.548
6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,WizKid,0.925,0.799
5ipni5g3JBMmFwWcUvIfFR,afrobeat,Barra,Habib Koité,0.969,0.522
5XT4rqhZ4WADgxMKxkhMtV,afrobeat,Olilili,Miriam Makeba,0.196,0.181
5u6fnmRO5V0PTl5M2Eekeu,alt-rock,Cold Hard Bitch,Jet,0.357,0.895
0j63xEjwIqH5UETVoHlxXQ,alt-rock,Tomorrow,Various Artists,0.494,0.687
5po4iBu6pAOAy8I6TM4a0e,alt-rock,Watch the Corners,Dinosaur Jr.,0.353,0.943
5ecF3MhOOM4bAZQad4HTy1,alt-rock,Goddess on a Hiway - Remastered,Mercury Rev,0.257,0.761
797NMFvQ1wbPr18I6VEgPz,alt-rock,I Will,Sebadoh,0.671,0.859
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
0q6LuUqGLUiCPP1cbdwFs3,alt-rock,On Melancholy Hill,Gorillaz,0.578,0.739
5EBDvc4cX8tqalRFGRwm7A,alt-rock,Liar,Built To Spill,0.538,0.755
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
6PvpKM4BW48ic8cbM4Vxcg,alternative,Man in the Box,Alice In Chains,0.685,0.849
4yYvWFUWMaKMXtoJKJnmZk,alternative,Shuffle,Bombay Bicycle Club,0.397,0.959
4YwLagaVWaegNK7RsUh1at,alternative,My Name Is Jonas,Weezer,0.634,0.927
3PvzvltQZLIKk9YgoMP3Yq,alternative,The Mother We Share,CHVRCHES,0.317,0.716
29YBihzQOmat0U74k4ukdx,alternative,Ironic,Alanis Morissette,0.293,0.635
2x0GSYjILjflppGT3NpWtR,alternative,Borders Are...,Serj Tankian,0.0762,0.932
7oK9VyNzrYvRFo7nQEYkWN,alternative,Mr. Brightside,The Killers,0.232,0.924
4s9MBsOC7ntOehwpH0EJLL,alternative,Your Bones,Of Monsters and Men,0.327,0.725
1aB3C7GKpCFgsdhqzfZW0U,alternative,Bloodshake,Peace,0.247,0.841
3dvnVubqVeeOjabs0wC1YB,alternative,Gun Has No Trigger,Dirty Projectors,0.345,0.662
6CFNc0E6BDcB8YxeDoeRsc,ambient,L'ivresse des Profondeurs,Various Artists,0.134,0.444
2pN0C4dICHk5z2KRS3c66l,ambient,Sea,Patrick O'Hearn,0.0361,0.0942
6aSIDnecfBOP1oA8jK8lNh,ambient,Inversion,Bersarin Quartett,0.0308,0.183
6djRBKQoWVHgnFZNFP7dtd,ambient,Lost,Hecq,0.613,0.15
5gaGARxmgIoSXmURSU95hG,ambient,Shell,Brian Eno,0.0249,0.166
4gDTwTId75QePmzeZ2woCQ,ambient,One Half,Julianna Barwick,0.0382,0.438
1Qq3prahymiO6FlKoT7JPC,ambient,Breathing Place,Vibrasphere,0.529,0.814
7zjWtWDCNgeXSY78nLzBQJ,ambient,Digging Shelters,Neil Halstead,0.279,0.274
7m2iqOIBuCT0XvMkv4wYNv,ambient,"Requiem for Dying Mothers, Pt. 2",Stars Of The Lid,0.0342,0.133
